DateTime,CO2_in(ppm),CO2_out(ppm)
2025/02/18 23:58:53,-9999,462.3
2025/02/19 01:56:38,461.9,-9999
2025/02/19 01:58:54,-9999,461.8
2025/02/19 03:56:38,461.5,-9999
2025/02/19 03:58:53,-9999,461.5
2025/02/19 05:56:38,461.2,-9999
2025/02/19 05:58:53,-9999,461.1
2025/02/19 07:56:38,461.5,-9999
2025/02/19 07:58:54,-9999,461.4
2025/02/19 09:56:39,463.8,-9999
2025/02/19 09:58:54,-9999,463.9
2025/02/19 11:56:38,462.7,-9999
2025/02/19 11:58:53,-9999,463
2025/02/19 13:56:38,460.4,-9999
2025/02/19 13:58:53,-9999,460.3
2025/02/19 15:56:38,462.1,-9999
2025/02/19 15:58:53,-9999,462
2025/02/19 17:56:38,459.4,-9999
2025/02/19 17:58:53,-9999,459.3
2025/02/19 19:56:38,461.8,-9999
2025/02/19 19:58:54,-9999,461.9
2025/02/19 21:56:37,463.3,-9999
2025/02/19 21:58:53,-9999,463.2
2025/02/19 23:56:38,463.2,-9999
2025/02/19 23:58:53,-9999,463.2
2025/02/20 01:56:38,463.1,-9999
2025/02/20 01:58:54,-9999,463.1
2025/02/20 03:56:37,462.8,-9999
2025/02/20 03:58:53,-9999,462.9
2025/02/20 05:56:38,462.7,-9999
2025/02/20 05:58:54,-9999,462.6
2025/02/20 07:56:38,463.3,-9999
2025/02/20 07:58:53,-9999,463.3
2025/02/20 09:56:37,462.7,-9999
2025/02/20 09:58:53,-9999,462.7
2025/02/20 11:56:37,460.3,-9999
2025/02/20 11:58:53,-9999,460.2
2025/02/20 13:56:38,461.7,-9999
2025/02/20 13:58:54,-9999,461.7
2025/02/20 15:56:38,462.9,-9999
2025/02/20 15:58:54,-9999,462.8
2025/02/20 17:56:38,460.9,-9999
2025/02/20 17:58:53,-9999,461
2025/02/20 19:56:37,462.4,-9999
2025/02/20 19:58:53,-9999,462.4
2025/02/20 21:56:38,462.4,-9999
2025/02/20 21:58:54,-9999,462.4
2025/02/20 23:56:38,462.9,-9999
2025/02/20 23:58:53,-9999,462.8
2025/02/21 01:56:38,462.7,-9999
2025/02/21 01:58:54,-9999,462.7
2025/02/21 03:56:38,462.4,-9999
2025/02/21 03:58:53,-9999,462.2
2025/02/21 05:56:38,462,-9999
2025/02/21 05:58:53,-9999,462
2025/02/21 07:56:38,465.3,-9999
2025/02/21 07:58:53,-9999,464.9
2025/02/21 09:56:37,471,-9999
2025/02/21 09:58:53,-9999,470.7
2025/02/21 11:56:38,469.8,-9999
2025/02/21 11:58:54,-9999,469.7
2025/02/21 13:56:38,474.1,-9999
2025/02/21 13:58:54,-9999,473.1
2025/02/21 15:56:38,480,-9999
2025/02/21 15:58:53,-9999,479.8
2025/02/21 17:56:38,471.4,-9999
2025/02/21 17:58:53,-9999,471.3
2025/02/21 19:56:38,470.2,-9999
2025/02/21 19:58:53,-9999,470.2
2025/02/21 21:56:38,469.8,-9999
2025/02/21 21:58:53,-9999,469.9
2025/02/21 23:56:38,469.3,-9999
2025/02/21 23:58:54,-9999,469.3
2025/02/22 01:56:38,468.3,-9999
2025/02/22 01:58:53,-9999,468.3
2025/02/22 03:56:38,467,-9999
2025/02/22 03:58:54,-9999,467
2025/02/22 05:56:38,466.5,-9999
2025/02/22 05:58:54,-9999,466.4
2025/02/22 07:56:38,465.5,-9999
2025/02/22 07:58:54,-9999,465.6
2025/02/22 09:56:38,462.7,-9999
2025/02/22 09:58:54,-9999,462.7
2025/02/22 11:56:38,466.4,-9999
2025/02/22 11:58:54,-9999,466.3
2025/02/22 13:56:38,464.1,-9999
2025/02/22 13:58:53,-9999,464.1
2025/02/22 15:56:38,463.1,-9999
2025/02/22 15:58:54,-9999,463.1
2025/02/22 17:56:38,460.5,-9999
2025/02/22 17:58:54,-9999,460.4
2025/02/22 19:56:38,462.5,-9999
2025/02/22 19:58:53,-9999,462.5
2025/02/22 21:56:37,462.7,-9999
2025/02/22 21:58:53,-9999,462.7
2025/02/22 23:56:38,461.9,-9999
2025/02/22 23:58:54,-9999,462
2025/02/23 01:56:38,461.1,-9999
2025/02/23 01:58:54,-9999,461.1
2025/02/23 03:56:37,460.8,-9999
2025/02/23 03:58:53,-9999,460.7
2025/02/23 05:56:38,460.8,-9999
2025/02/23 05:58:53,-9999,460.8
2025/02/23 07:56:38,460.9,-9999
2025/02/23 07:58:53,-9999,460.8
2025/02/23 09:56:38,459.1,-9999
2025/02/23 09:58:54,-9999,459.5
2025/02/23 11:56:38,460.5,-9999
2025/02/23 11:58:54,-9999,460.5
2025/02/23 13:56:38,459.6,-9999
2025/02/23 13:58:53,-9999,459.5
2025/02/23 15:56:38,459.4,-9999
2025/02/23 15:58:53,-9999,459.4
2025/02/23 17:56:38,457.7,-9999
2025/02/23 17:58:54,-9999,457.7
2025/02/23 19:56:38,459,-9999
2025/02/23 19:58:53,-9999,459
2025/02/23 21:56:38,459.7,-9999
2025/02/23 21:58:54,-9999,459.7
2025/02/23 23:56:38,459.3,-9999
2025/02/23 23:58:54,-9999,459.4
2025/02/24 01:56:38,458.9,-9999
2025/02/24 01:58:54,-9999,458.8
2025/02/24 03:56:38,458.4,-9999
2025/02/24 03:58:54,-9999,458.2
2025/02/24 05:56:37,457.8,-9999
2025/02/24 05:58:53,-9999,457.8
2025/02/24 07:56:38,457.9,-9999
2025/02/24 07:58:53,-9999,457.9
2025/02/25 13:57:46,440,-9999
2025/02/25 14:00:02,-9999,439.8
2025/02/25 14:56:40,440.2,-9999
2025/02/25 14:58:56,-9999,439.8
2025/02/25 16:10:24,438.5,-9999
2025/02/25 16:12:40,-9999,430.9
2025/02/25 17:09:19,437.9,-9999
2025/02/25 17:11:35,-9999,438.1
2025/02/25 18:08:14,436,-9999
2025/02/25 18:10:29,-9999,434.8
2025/02/25 19:07:08,433.1,-9999
2025/02/25 19:09:24,-9999,433.1
2025/02/25 20:06:03,436.3,-9999
2025/02/25 20:08:18,-9999,436.5
2025/02/25 21:04:57,438.8,-9999
2025/02/25 21:07:12,-9999,438.9
2025/02/25 22:03:51,439.4,-9999
2025/02/25 22:06:07,-9999,439.9
2025/02/25 23:02:46,437.1,-9999
2025/02/25 23:05:01,-9999,433.4
2025/02/26 00:01:40,434,-9999
2025/02/26 00:03:56,-9999,434.3
2025/02/26 01:00:35,433,-9999
2025/02/26 01:02:50,-9999,432.9
2025/02/26 01:59:29,431.9,-9999
2025/02/26 02:01:45,-9999,432.1
2025/02/26 02:58:24,430.9,-9999
2025/02/26 03:00:40,-9999,430.9
2025/02/26 04:01:55,430.9,-9999
2025/02/26 04:04:11,-9999,431
2025/02/26 05:00:49,429.8,-9999
2025/02/26 05:03:05,-9999,429.9
2025/02/26 05:59:43,430,-9999
2025/02/26 06:01:59,-9999,430
2025/02/26 06:58:38,429.5,-9999
2025/02/26 07:00:53,-9999,429.8
2025/02/26 07:57:32,429,-9999
2025/02/26 07:59:48,-9999,429.3
2025/02/26 08:56:27,427.7,-9999
2025/02/26 08:58:42,-9999,427.2
2025/02/26 09:55:21,417.7,-9999
2025/02/26 09:57:37,-9999,419.2
2025/02/26 10:54:16,418,-9999
2025/02/26 10:56:31,-9999,418.4
2025/02/26 11:53:11,420.2,-9999
2025/02/26 11:55:26,-9999,417.3
2025/02/26 12:52:05,415.8,-9999
2025/02/26 12:54:21,-9999,415.8
2025/02/26 13:51:00,415.6,-9999
2025/02/26 13:53:15,-9999,415.6
2025/02/26 14:49:55,414.3,-9999
2025/02/26 14:52:10,-9999,414.8
2025/02/26 15:53:25,416.4,-9999
2025/02/26 15:55:41,-9999,415.9
2025/02/26 16:52:20,418.5,-9999
2025/02/26 16:54:35,-9999,419
2025/02/26 17:51:15,419.1,-9999
2025/02/26 17:53:30,-9999,419.3
2025/02/26 18:50:09,422.8,-9999
2025/02/26 18:52:25,-9999,422.9
2025/02/26 19:49:04,421.6,-9999
2025/02/26 19:51:20,-9999,421.9
2025/02/26 20:47:59,425,-9999
2025/02/26 20:50:15,-9999,425.2
2025/02/26 21:46:54,424.3,-9999
2025/02/26 21:49:10,-9999,426.4
2025/02/26 22:45:49,427.1,-9999
2025/02/26 22:48:05,-9999,426.7
2025/02/26 23:44:44,428.4,-9999
2025/02/26 23:47:00,-9999,428.9
2025/02/27 00:43:39,430.2,-9999
2025/02/27 00:45:54,-9999,427.9
2025/02/27 01:42:34,429.5,-9999
2025/02/27 01:44:49,-9999,429.5
2025/02/27 02:41:29,427.1,-9999
2025/02/27 02:43:45,-9999,427.6
2025/02/27 03:45:00,426.7,-9999
2025/02/27 03:47:16,-9999,427
2025/02/27 04:43:55,428.8,-9999
2025/02/27 04:46:11,-9999,428.9
2025/02/27 05:42:50,425.6,-9999
2025/02/27 05:45:06,-9999,425.8
2025/02/27 06:41:45,426,-9999
2025/02/27 06:44:01,-9999,427.2
2025/02/27 07:40:40,428.6,-9999
2025/02/27 07:42:56,-9999,428.3
2025/02/27 08:39:35,425.3,-9999
2025/02/27 08:41:51,-9999,425.9
2025/02/27 09:38:30,429.3,-9999
2025/02/27 09:40:46,-9999,429.8
2025/02/27 10:37:25,430.7,-9999
2025/02/27 10:39:41,-9999,431.2
2025/02/27 11:36:20,430.9,-9999
2025/02/27 11:38:36,-9999,431.7
2025/02/27 12:35:15,430.7,-9999
2025/02/27 12:37:31,-9999,431.2
2025/02/27 13:34:10,429.2,-9999
2025/02/27 13:36:26,-9999,428.6
2025/02/27 14:33:05,430.3,-9999
